index,time,min-vid,max-vid,n-videos,path
20250107-barracuda,4716.66195,458.40795,532.532,9,./data/videos/20250107/barracuda
20250107-grouper,4733.99593333333,475.741933333333,532.532,9,./data/videos/20250107/grouper
20250107-negative-control,4865.71085,75.92585,532.532,10,./data/videos/20250107/negative-control
20250107-positive-control,4650.37906666667,392.125066666667,532.532,9,./data/videos/20250107/positive-control
20250109-barracuda,4630.47585,373.22285,532.532,9,./data/videos/20250109/barracuda
20250109-grouper,4708.85415,450.60015,532.532,9,./data/videos/20250109/grouper
20250109-negative-control,4926.75516666667,136.970166666667,532.532,10,./data/videos/20250109/negative-control
20250109-positive-control,4801.46333333333,12.6793333333333,532.532,10,./data/videos/20250109/positive-control
20241213-barracuda,4247.62671666667,521.904716666667,532.532,8,./data/videos/20241213/baracuda
20241213-grouper,4380.9766,123.7236,532.532,9,./data/videos/20241213/grouper
20241213-negative-control,4555.10055,296.84655,532.532,9,./data/videos/20241213/negative-control
20241213-positive-control,4561.99076666667,302.735766666667,532.532,9,./data/videos/20241213/positive-control
20241228-barracuda,4503.36553333333,245.111533333333,532.532,9,./data/videos/20241228/baracuda
20241228-grouper,4398.4941,140.2401,532.532,9,./data/videos/20241228/grouper
20241228-negative-control,4788.70058333333,530.446583333333,532.532,9,./data/videos/20241228/negative-control
20241228-positive-control,4498.21038333333,240.957383333333,532.532,9,./data/videos/20241228/positive-control
20241230-barracuda,4566.32843333333,310.076433333333,532.532,9,./data/videos/20241230/barracuda
20241230-grouper,4463.54241666667,205.288416666667,532.532,9,./data/videos/20241230/grouper
20241230-negative-control,4970.99936666667,179.212366666667,532.532,10,./data/videos/20241230/negative-control
20241230-positive-control,4417.67993333333,159.425933333333,532.532,9,./data/videos/20241230/positive-control
20250103-barracuda,4665.07708333333,405.822083333333,532.532,9,./data/videos/20250103/barracuda
20250103-grouper,4594.4899,336.2359,532.532,9,./data/videos/20250103/grouper
20250103-negative-control,4732.97825,475.72525,532.532,9,./data/videos/20250103/negative-control
20250103-positive-control,4448.42731666667,192.175316666667,532.532,9,./data/videos/20250103/positive-control
20250114-barracuda,4721.86715,463.61315,532.532,9,./data/videos/20250114/barracuda
20250114-grouper,4426.63888333333,167.383883333333,532.532,9,./data/videos/20250114/grouper
20250114-negative-control,4662.07408333333,403.820083333333,532.532,9,./data/videos/20250114/negative-control
20250114-positive-control,4837.76626666667,47.9812666666667,532.532,10,./data/videos/20250114/positive-control
20250118-barracuda,4772.53443333333,515.281433333333,532.532,9,./data/videos/20250118/barracuda
20250118-grouper,4994.3894,201.6014,532.532,10,./data/videos/20250118/grouper
20250118-negative-control,4759.70495,500.44995,532.532,9,./data/videos/20250118/negative-control
20250118-positive-control,4844.08925,55.30525,532.532,10,./data/videos/20250118/positive-control
20250123-barracuda,4688.11676666667,430.863766666667,532.532,9,./data/videos/20250123/barracuda
20250123-grouper,4760.78936666667,503.536366666667,532.532,9,./data/videos/20250123/grouper
20250123-negative-control,4555.16728333333,298.915283333333,532.532,9,./data/videos/20250123/negative-control
20250123-positive-control,4831.77695,42.99295,532.532,10,./data/videos/20250123/positive-control
20250127-barracuda,4454.08296666667,195.828966666667,532.532,9,./data/videos/20250127/barracuda
20250127-grouper,4331.84418333333,74.5911833333333,532.532,9,./data/videos/20250127/grouper
20250127-negative-control,4479.84203333333,223.590033333333,532.532,9,./data/videos/20250127/negative-control
20250127-positive-control,4431.77735,175.52535,532.532,9,./data/videos/20250127/positive-control
